Date,gold,nifty
2023-06-08,52.22999954223633,202.4600067138672
2023-06-09,52.529998779296875,201.9199981689453
2023-06-12,52.54999923706055,202.5
2023-06-13,52.5,203.02000427246094
2023-06-14,51.91999816894531,203.9600067138672
2023-06-15,51.66999816894531,203.17999267578125
2023-06-16,52.20000076293945,204.3800048828125
2023-06-19,51.83000183105469,204.25999450683594
2023-06-20,51.97999954223633,204.22999572753906
2023-06-21,51.58000183105469,204.72000122070312
2023-06-22,51.18000030517578,204.52999877929688
2023-06-23,51.08000183105469,203.38999938964844
2023-06-26,51.38999938964844,203.49000549316406
2023-06-27,51.349998474121094,204.47000122070312
2023-06-28,51.0,206.6699981689453
2023-06-30,50.709999084472656,208.5399932861328
2023-07-07,51.47999954223633,210.82000732421875
2023-07-10,51.689998626708984,211.11000061035156
2023-07-14,52.029998779296875,212.66000366210938
2023-07-17,51.970001220703125,214.11000061035156
2023-07-19,52.5,215.89999389648438
2023-07-20,52.54999923706055,217.1999969482422
2023-07-21,52.08000183105469,215.11000061035156
2023-07-24,51.959999084472656,215.9499969482422
2023-07-26,52.11000061035156,216.11000061035156
2023-07-28,51.9900016784668,214.3699951171875
2023-08-03,51.9900016784668,211.44000244140625
2023-08-04,51.9900016784668,213.0800018310547
2023-08-07,51.93000030517578,213.89999389648438
2023-08-08,52.029998779296875,213.4600067138672
2023-08-09,51.900001525878906,214.33999633789062
2023-08-10,51.72999954223633,213.69000244140625
2023-08-11,51.630001068115234,212.74000549316406
2023-08-14,51.630001068115234,212.41000366210938
2023-08-16,51.56999969482422,212.0800018310547
2023-08-17,51.380001068115234,211.72999572753906
2023-08-18,51.290000915527344,211.22999572753906
2023-08-21,51.13999938964844,212.22000122070312
2023-08-22,51.369998931884766,211.94000244140625
2023-08-23,51.310001373291016,212.5500030517578
2023-08-24,51.5,211.5399932861328
2023-08-25,51.4900016784668,210.50999450683594
2023-08-28,51.38999938964844,211.1699981689453
2023-08-29,51.58000183105469,211.17999267578125
2023-08-30,51.880001068115234,211.25999450683594
2023-08-31,51.9900016784668,210.97000122070312
2023-09-01,51.9900016784668,212.17999267578125
2023-09-04,52.040000915527344,213.41000366210938
2023-09-05,51.91999816894531,213.6300048828125
2023-09-06,51.88999938964844,213.9199981689453
2023-09-07,51.84000015258789,215.0
2023-09-08,51.849998474121094,215.89999389648438
2023-09-11,51.720001220703125,216.8699951171875
2023-09-12,51.529998779296875,218.1199951171875
2023-09-13,51.31999969482422,219.16000366210938
2023-09-14,51.369998931884766,219.94000244140625
2023-09-15,51.63999938964844,220.77000427246094
2023-09-18,51.91999816894531,219.89999389648438
2023-09-20,52.040000915527344,218.4600067138672
